"team_name","season","buildupplayspeed","buildupplaydribbling","buildupplaydribblingclass","buildupplaypassing","buildupplaypassingclass","buildupplaypositioningclass","chancecreationpassing","chancecreationpassingclass","chancecreationcrossing","chancecreationcrossingclass","chancecreationshooting","chancecreationshootingclass","chancecreationpositioningclass","defencepressure","defencepressureclass","defenceaggression","defenceaggressionclass","defenceteamwidth","defenceteamwidthclass","defencedefenderlineclass","draws","wins","losses"
"Club Brugge KV                                                                                      ","2013",45,NULL,"Little                                            ",48,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",61,"Normal                                            ",47,"Normal                                            ","Organised                                         ",43,"Medium                                            ",59,"Press                                             ",45,"Normal                                            ","Cover                                             ","3","4","1"
"Club Brugge KV                                                                                      ","2014",42,52,"Normal                                            ",45,"Mixed                                             ","Organised                                         ",42,"Normal                                            ",57,"Normal                                            ",47,"Normal                                            ","Organised                                         ",51,"Medium                                            ",50,"Press                                             ",57,"Normal                                            ","Cover                                             ","8","12","1"
"Club Brugge KV                                                                                      ","2015",42,52,"Normal                                            ",45,"Mixed                                             ","Organised                                         ",42,"Normal                                            ",57,"Normal                                            ",47,"Normal                                            ","Organised                                         ",51,"Medium                                            ",50,"Press                                             ",57,"Normal                                            ","Cover                                             ","3","18","9"
"Córdoba CF                                                                                          ","2010",30,NULL,"Little                                            ",30,"Short                                             ","Organised                                         ",35,"Normal                                            ",45,"Normal                                            ",60,"Normal                                            ","Organised                                         ",35,"Medium                                            ",30,"Contain                                           ",40,"Normal                                            ","Cover                                             ","0","0","0"
"Córdoba CF                                                                                          ","2011",39,NULL,"Little                                            ",41,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",42,"Normal                                            ",46,"Normal                                            ","Organised                                         ",40,"Medium                                            ",38,"Press                                             ",44,"Normal                                            ","Cover                                             ","0","0","0"
"Córdoba CF                                                                                          ","2012",40,NULL,"Little                                            ",53,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",71,"Lots                                              ",48,"Normal                                            ","Organised                                         ",36,"Medium                                            ",41,"Press                                             ",52,"Normal                                            ","Cover                                             ","0","0","0"
"Córdoba CF                                                                                          ","2013",40,NULL,"Little                                            ",53,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",71,"Lots                                              ",48,"Normal                                            ","Organised                                         ",36,"Medium                                            ",41,"Press                                             ",52,"Normal                                            ","Cover                                             ","0","0","0"
"Córdoba CF                                                                                          ","2014",40,53,"Normal                                            ",53,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",66,"Normal                                            ",48,"Normal                                            ","Organised                                         ",36,"Medium                                            ",41,"Press                                             ",52,"Normal                                            ","Cover                                             ","8","1","7"
"Córdoba CF                                                                                          ","2015",53,40,"Normal                                            ",48,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",59,"Normal                                            ",57,"Normal                                            ","Organised                                         ",38,"Medium                                            ",39,"Press                                             ",52,"Normal                                            ","Cover                                             ","3","2","17"
"Cracovia                                                                                            ","2010",30,NULL,"Little                                            ",45,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",35,"Normal                                            ",65,"Normal                                            ","Organised                                         ",70,"High                                              ",70,"Double                                            ",65,"Normal                                            ","Cover                                             ","4","6","18"
"Cracovia                                                                                            ","2011",46,NULL,"Little                                            ",51,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",48,"Normal                                            ",52,"Normal                                            ","Organised                                         ",48,"Medium                                            ",33,"Contain                                           ",63,"Normal                                            ","Cover                                             ","8","9","15"
"Cracovia                                                                                            ","2012",57,NULL,"Little                                            ",59,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",33,"Little                                            ",78,"Lots                                              ","Organised                                         ",59,"Medium                                            ",51,"Press                                             ",53,"Normal                                            ","Cover                                             ","5","1","7"
"Cracovia                                                                                            ","2014",37,50,"Normal                                            ",38,"Mixed                                             ","Organised                                         ",66,"Normal                                            ",66,"Normal                                            ",33,"Little                                            ","Organised                                         ",59,"Medium                                            ",34,"Press                                             ",64,"Normal                                            ","Cover                                             ","7","8","13"
"Cracovia                                                                                            ","2015",37,50,"Normal                                            ",38,"Mixed                                             ","Organised                                         ",66,"Normal                                            ",66,"Normal                                            ",33,"Little                                            ","Organised                                         ",59,"Medium                                            ",34,"Press                                             ",64,"Normal                                            ","Cover                                             ","9","14","9"
"Crystal Palace                                                                                      ","2010",70,NULL,"Little                                            ",70,"Long                                              ","Organised                                         ",70,"Risky                                             ",70,"Lots                                              ",65,"Normal                                            ","Organised                                         ",65,"Medium                                            ",60,"Press                                             ",60,"Normal                                            ","Cover                                             ","0","0","0"
"Crystal Palace                                                                                      ","2011",53,NULL,"Little                                            ",54,"Mixed                                             ","Organised                                         ",69,"Risky                                             ",48,"Normal                                            ",52,"Normal                                            ","Organised                                         ",48,"Medium                                            ",43,"Press                                             ",33,"Narrow                                            ","Cover                                             ","0","0","0"
"Crystal Palace                                                                                      ","2012",43,NULL,"Little                                            ",46,"Mixed                                             ","Organised                                         ",69,"Risky                                             ",66,"Normal                                            ",47,"Normal                                            ","Organised                                         ",44,"Medium                                            ",27,"Contain                                           ",53,"Normal                                            ","Cover                                             ","0","0","0"
"Crystal Palace                                                                                      ","2013",52,NULL,"Little                                            ",47,"Mixed                                             ","Organised                                         ",69,"Risky                                             ",66,"Normal                                            ",47,"Normal                                            ","Organised                                         ",36,"Medium                                            ",33,"Contain                                           ",53,"Normal                                            ","Cover                                             ","1","5","13"
"Crystal Palace                                                                                      ","2014",61,36,"Normal                                            ",68,"Long                                              ","Organised                                         ",67,"Risky                                             ",62,"Normal                                            ",52,"Normal                                            ","Organised                                         ",36,"Medium                                            ",34,"Press                                             ",48,"Normal                                            ","Cover                                             ","12","11","15"
"Crystal Palace                                                                                      ","2015",61,45,"Normal                                            ",67,"Long                                              ","Organised                                         ",67,"Risky                                             ",69,"Lots                                              ",50,"Normal                                            ","Organised                                         ",36,"Medium                                            ",34,"Press                                             ",41,"Normal                                            ","Cover                                             ","6","19","13"
"SV Darmstadt 98                                                                                     ","2015",59,43,"Normal                                            ",77,"Long                                              ","Organised                                         ",52,"Normal                                            ",77,"Lots                                              ",45,"Normal                                            ","Organised                                         ",32,"Deep                                              ",56,"Press                                             ",41,"Normal                                            ","Cover                                             ","6","4","7"
"De Graafschap                                                                                       ","2011",30,NULL,"Little                                            ",40,"Mixed                                             ","Organised                                         ",43,"Normal                                            ",45,"Normal                                            ",65,"Normal                                            ","Organised                                         ",42,"Medium                                            ",45,"Press                                             ",50,"Normal                                            ","Cover                                             ","8","7","17"
"De Graafschap                                                                                       ","2012",37,NULL,"Little                                            ",41,"Mixed                                             ","Organised                                         ",47,"Normal                                            ",40,"Normal                                            ",63,"Normal                                            ","Organised                                         ",52,"Medium                                            ",43,"Press                                             ",41,"Normal                                            ","Cover                                             ","3","3","11"
"RC Deportivo de La Coruña                                                                           ","2010",30,NULL,"Little                                            ",30,"Short                                             ","Organised                                         ",30,"Safe                                              ",45,"Normal                                            ",65,"Normal                                            ","Organised                                         ",35,"Medium                                            ",35,"Press                                             ",45,"Normal                                            ","Offside Trap                                      ","11","9","19"
"RC Deportivo de La Coruña                                                                           ","2011",56,NULL,"Little                                            ",42,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",69,"Lots                                              ",61,"Normal                                            ","Organised                                         ",38,"Medium                                            ",44,"Press                                             ",69,"Wide                                              ","Cover                                             ","7","6","9"
"RC Deportivo de La Coruña                                                                           ","2012",56,NULL,"Little                                            ",46,"Mixed                                             ","Organised                                         ",38,"Normal                                            ",52,"Normal                                            ",68,"Lots                                              ","Organised                                         ",45,"Medium                                            ",50,"Press                                             ",59,"Normal                                            ","Cover                                             ","6","2","9"
"RC Deportivo de La Coruña                                                                           ","2013",56,NULL,"Little                                            ",46,"Mixed                                             ","Organised                                         ",38,"Normal                                            ",52,"Normal                                            ",68,"Lots                                              ","Organised                                         ",45,"Medium                                            ",50,"Press                                             ",59,"Normal                                            ","Cover                                             ","5","6","10"
"RC Deportivo de La Coruña                                                                           ","2014",56,55,"Normal                                            ",46,"Mixed                                             ","Organised                                         ",38,"Normal                                            ",52,"Normal                                            ",68,"Lots                                              ","Organised                                         ",45,"Medium                                            ",50,"Press                                             ",59,"Normal                                            ","Cover                                             ","4","3","9"
"RC Deportivo de La Coruña                                                                           ","2015",53,55,"Normal                                            ",47,"Mixed                                             ","Organised                                         ",38,"Normal                                            ",52,"Normal                                            ",55,"Normal                                            ","Organised                                         ",45,"Medium                                            ",50,"Press                                             ",59,"Normal                                            ","Offside Trap                                      ","19","10","10"
"Dijon FCO                                                                                           ","2010",55,NULL,"Little                                            ",40,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",40,"Normal                                            ",55,"Normal                                            ","Organised                                         ",30,"Deep                                              ",60,"Press                                             ",30,"Narrow                                            ","Offside Trap                                      ","0","0","0"
"Dijon FCO                                                                                           ","2011",65,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",50,"Normal                                            ",65,"Normal                                            ",50,"Normal                                            ","Organised                                         ",35,"Medium                                            ",45,"Press                                             ",50,"Normal                                            ","Cover                                             ","4","5","10"
"Dijon FCO                                                                                           ","2012",51,NULL,"Little                                            ",49,"Mixed                                             ","Organised                                         ",49,"Normal                                            ",52,"Normal                                            ",52,"Normal                                            ","Organised                                         ",45,"Medium                                            ",46,"Press                                             ",58,"Normal                                            ","Cover                                             ","5","4","10"
"Dijon FCO                                                                                           ","2013",51,NULL,"Little                                            ",49,"Mixed                                             ","Organised                                         ",49,"Normal                                            ",52,"Normal                                            ",52,"Normal                                            ","Organised                                         ",45,"Medium                                            ",46,"Press                                             ",58,"Normal                                            ","Cover                                             ","0","0","0"
"Dijon FCO                                                                                           ","2014",51,54,"Normal                                            ",49,"Mixed                                             ","Organised                                         ",49,"Normal                                            ",52,"Normal                                            ",52,"Normal                                            ","Organised                                         ",45,"Medium                                            ",46,"Press                                             ",58,"Normal                                            ","Cover                                             ","0","0","0"
"Dijon FCO                                                                                           ","2015",51,54,"Normal                                            ",49,"Mixed                                             ","Organised                                         ",49,"Normal                                            ",52,"Normal                                            ",52,"Normal                                            ","Organised                                         ",45,"Medium                                            ",46,"Press                                             ",58,"Normal                                            ","Cover                                             ","0","0","0"
"Dundee FC                                                                                           ","2013",50,NULL,"Little                                            ",49,"Mixed                                             ","Organised                                         ",38,"Normal                                            ",60,"Normal                                            ",53,"Normal                                            ","Organised                                         ",48,"Medium                                            ",47,"Press                                             ",59,"Normal                                            ","Cover                                             ","6","4","8"
"Dundee FC                                                                                           ","2015",47,47,"Normal                                            ",48,"Mixed                                             ","Organised                                         ",32,"Safe                                              ",61,"Normal                                            ",65,"Normal                                            ","Organised                                         ",50,"Medium                                            ",44,"Press                                             ",52,"Normal                                            ","Cover                                             ","14","11","15"
"Dundee United                                                                                       ","2010",70,NULL,"Little                                            ",70,"Long                                              ","Organised                                         ",65,"Normal                                            ",70,"Lots                                              ",70,"Lots                                              ","Organised                                         ",60,"Medium                                            ",70,"Double                                            ",70,"Wide                                              ","Cover                                             ","10","15","11"
"Dundee United                                                                                       ","2011",68,NULL,"Little                                            ",53,"Mixed                                             ","Organised                                         ",67,"Risky                                             ",53,"Normal                                            ",67,"Lots                                              ","Organised                                         ",57,"Medium                                            ",57,"Press                                             ",63,"Normal                                            ","Cover                                             ","13","18","13"
"Dundee United                                                                                       ","2012",60,NULL,"Little                                            ",60,"Mixed                                             ","Organised                                         ",50,"Normal                                            ",50,"Normal                                            ",35,"Normal                                            ","Organised                                         ",40,"Medium                                            ",38,"Press                                             ",52,"Normal                                            ","Cover                                             ","10","16","11"
"Dundee United                                                                                       ","2013",53,NULL,"Little                                            ",52,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",53,"Normal                                            ",42,"Normal                                            ","Organised                                         ",41,"Medium                                            ",41,"Press                                             ",52,"Normal                                            ","Cover                                             ","12","14","11"
"Dundee United                                                                                       ","2014",60,51,"Normal                                            ",60,"Mixed                                             ","Organised                                         ",52,"Normal                                            ",55,"Normal                                            ",38,"Normal                                            ","Organised                                         ",41,"Medium                                            ",40,"Press                                             ",52,"Normal                                            ","Cover                                             ","6","18","13"
"Dundee United                                                                                       ","2015",60,58,"Normal                                            ",53,"Mixed                                             ","Organised                                         ",55,"Normal                                            ",49,"Normal                                            ",45,"Normal                                            ","Organised                                         ",48,"Medium                                            ",42,"Press                                             ",53,"Normal                                            ","Cover                                             ","8","8","24"
"Dunfermline Athletic                                                                                ","2012",55,NULL,"Little                                            ",60,"Mixed                                             ","Organised                                         ",46,"Normal                                            ",68,"Lots                                              ",54,"Normal                                            ","Organised                                         ",42,"Medium                                            ",43,"Press                                             ",63,"Normal                                            ","Cover                                             ","5","2","12"
"SD Eibar                                                                                            ","2014",62,51,"Normal                                            ",52,"Mixed                                             ","Organised                                         ",60,"Normal                                            ",55,"Normal                                            ",64,"Normal                                            ","Organised                                         ",37,"Medium                                            ",56,"Press                                             ",49,"Normal                                            ","Cover                                             ","5","5","6"
"SD Eibar                                                                                            ","2015",62,51,"Normal                                            ",52,"Mixed                                             ","Organised                                         ",59,"Normal                                            ",55,"Normal                                            ",52,"Normal                                            ","Organised                                         ",37,"Medium                                            ",56,"Press                                             ",49,"Normal                                            ","Cover                                             ","9","10","20"
"Eintracht Braunschweig                                                                              ","2012",64,NULL,"Little                                            ",54,"Mixed                                             ","Organised                                         ",52,"Normal                                            ",66,"Normal                                            ",62,"Normal                                            ","Organised                                         ",54,"Medium                                            ",42,"Press                                             ",48,"Normal                                            ","Cover                                             ","0","0","0"
"Eintracht Braunschweig                                                                              ","2013",68,NULL,"Little                                            ",54,"Mixed                                             ","Organised                                         ",62,"Normal                                            ",66,"Normal                                            ",67,"Lots                                              ","Free Form                                         ",57,"Medium                                            ",47,"Press                                             ",53,"Normal                                            ","Cover                                             ","2","3","12"
"Eintracht Braunschweig                                                                              ","2014",61,60,"Normal                                            ",62,"Mixed                                             ","Organised                                         ",59,"Normal                                            ",43,"Normal                                            ",55,"Normal                                            ","Organised                                         ",30,"Deep                                              ",40,"Press                                             ",39,"Normal                                            ","Cover                                             ","5","3","9"
"Eintracht Braunschweig                                                                              ","2015",66,44,"Normal                                            ",54,"Mixed                                             ","Organised                                         ",62,"Normal                                            ",59,"Normal                                            ",51,"Normal                                            ","Free Form                                         ",57,"Medium                                            ",47,"Press                                             ",53,"Normal                                            ","Cover                                             ","0","0","0"
"Eintracht Frankfurt                                                                                 ","2010",60,NULL,"Little                                            ",35,"Mixed                                             ","Organised                                         ",35,"Normal                                            ",70,"Lots                                              ",60,"Normal                                            ","Organised                                         ",65,"Medium                                            ",30,"Contain                                           ",45,"Normal                                            ","Cover                                             ","6","14","14"
"Eintracht Frankfurt                                                                                 ","2011",52,NULL,"Little                                            ",43,"Mixed                                             ","Organised                                         ",62,"Normal                                            ",62,"Normal                                            ",41,"Normal                                            ","Organised                                         ",48,"Medium                                            ",50,"Press                                             ",53,"Normal                                            ","Cover                                             ","5","1","11"
"Eintracht Frankfurt                                                                                 ","2012",38,NULL,"Little                                            ",34,"Mixed                                             ","Organised                                         ",47,"Normal                                            ",45,"Normal                                            ",48,"Normal                                            ","Organised                                         ",46,"Medium                                            ",45,"Press                                             ",54,"Normal                                            ","Cover                                             ","3","9","5"
"Eintracht Frankfurt                                                                                 ","2013",41,NULL,"Little                                            ",34,"Mixed                                             ","Organised                                         ",47,"Normal                                            ",45,"Normal                                            ",48,"Normal                                            ","Organised                                         ",46,"Medium                                            ",45,"Press                                             ",57,"Normal                                            ","Cover                                             ","12","8","14"
"Eintracht Frankfurt                                                                                 ","2014",63,48,"Normal                                            ",42,"Mixed                                             ","Organised                                         ",57,"Normal                                            ",50,"Normal                                            ",52,"Normal                                            ","Organised                                         ",43,"Medium                                            ",46,"Press                                             ",55,"Normal                                            ","Cover                                             ","8","12","14"
"Eintracht Frankfurt                                                                                 ","2015",51,41,"Normal                                            ",38,"Mixed                                             ","Organised                                         ",47,"Normal                                            ",58,"Normal                                            ",40,"Normal                                            ","Organised                                         ",48,"Medium                                            ",42,"Press                                             ",55,"Normal                                            ","Cover                                             ","10","9","15"
"Elche CF                                                                                            ","2010",30,NULL,"Little                                            ",30,"Short                                             ","Organised                                         ",45,"Normal                                            ",50,"Normal                                            ",70,"Lots                                              ","Organised                                         ",50,"Medium                                            ",45,"Press                                             ",45,"Normal                                            ","Cover                                             ","0","0","0"
"Elche CF                                                                                            ","2011",43,NULL,"Little                                            ",39,"Mixed                                             ","Organised                                         ",52,"Normal                                            ",43,"Normal                                            ",46,"Normal                                            ","Organised                                         ",40,"Medium                                            ",39,"Press                                             ",51,"Normal                                            ","Cover                                             ","0","0","0"
"Elche CF                                                                                            ","2012",55,NULL,"Little                                            ",73,"Long                                              ","Organised                                         ",53,"Normal                                            ",54,"Normal                                            ",57,"Normal                                            ","Organised                                         ",49,"Medium                                            ",51,"Press                                             ",58,"Normal                                            ","Cover                                             ","0","0","0"
"Elche CF                                                                                            ","2013",55,NULL,"Little                                            ",73,"Long                                              ","Organised                                         ",53,"Normal                                            ",54,"Normal                                            ",57,"Normal                                            ","Organised                                         ",49,"Medium                                            ",51,"Press                                             ",58,"Normal                                            ","Cover                                             ","5","4","8"
"Elche CF                                                                                            ","2014",55,47,"Normal                                            ",69,"Long                                              ","Organised                                         ",53,"Normal                                            ",54,"Normal                                            ",57,"Normal                                            ","Organised                                         ",49,"Medium                                            ",51,"Press                                             ",58,"Normal                                            ","Cover                                             ","12","7","18"
"Elche CF                                                                                            ","2015",51,52,"Normal                                            ",48,"Mixed                                             ","Organised                                         ",53,"Normal                                            ",54,"Normal                                            ",57,"Normal                                            ","Organised                                         ",49,"Medium                                            ",51,"Press                                             ",58,"Normal                                            ","Cover                                             ","4","9","9"
